id,severity,category,edge,location,line,evidence_type,guard_status,confidence,impact,fix,acceptance
A1,P0,forbidden-cross-import,progress -> theory-academy,src/features/progress/persistWrapperProbe.test.ts,11-12;59,eslint-exit-1(实测),caught-red,high,"CI deploy.yml Lint 步骤失败 -> GitHub Pages 部署阻塞；违反白名单 progress:[]；eslintCrossImports.test.ts:20-22 注释分叉","将该测试移至 src/features/theory-academy/（theory->progress 为白名单内边，已有先例 theoryReviewI18n.test.tsx）；禁止放宽 ALLOWED_CROSS_IMPORTS","pnpm lint exit 0 且 ALLOWED_CROSS_IMPORTS/EXPECTED_SNAPSHOT 均未被修改"
A2,P0,startup-race,progress(Dashboard) -> registry(未注册),src/main.tsx,requestIdleCallback块 vs initProgressStore().then(render),static-code+call-chain,inferred-medium,medium-high,"首页 Dashboard 间歇性丢失学院进度/每日计划推荐；progress/store.ts 8 处成就判定遍历空数组 -> 成就静默不解锁；useSyncExternalStore 订阅固化为空函数，注册成功后不自愈","建立显式同步点：渲染前 await 三学院 bootstrap（或最小注册集）；或为 registry 增加 onRegister 订阅使其可自愈；补晚注册时序测试","新增「Dashboard 先挂载、registry 后注册」测试并通过；main.tsx 存在可验证的先后关系"
B1-a,P1,layer-violation,shared -> progress,src/shared/components/gate/SessionLimitGuard.tsx,16,static-code,unguarded,high,"shared 底座反向依赖 feature，依赖图不可推理；与 GameVariantSelector.tsx:7 声明的同一约束自相矛盾；缺口会持续放大","改为 props/hook 注入（调用方传 limit/answered，shared 只渲染判定）；或在 eslint.config.js 为 src/shared/** 增加禁止 @/features/* 的分层块","对 src/shared/** grep @/features/ 为空；故意新增违规文件时 pnpm lint 变红"
B1-b,P1,layer-violation,i18n -> strategy-academy,src/i18n/unitRef.test.ts,2-3,static-code,unguarded,high,"i18n 守卫测试跨层引用 feature 数据，无登记无豁免，边界模糊","在 eslint 分层块中为 src/i18n/**/*.test.ts 开显式命名豁免并加注释说明","豁免写在配置中且有理由注释，不再是空白地带"
B1-c,P1,missing-guard,eslint-scope-gap,eslint.config.js,43,config-inspection,unguarded,high,"隔离规则 files 仅覆盖 src/features/**，shared/i18n/layouts/app 四层零方向性约束","扩展 eslint.config.js 增加分层规则块覆盖 src/shared/** 与 src/i18n/**","新增 shared 层违规文件时 pnpm lint 变红"
B2-a,P1,missing-guard,pre-commit-no-verify,.git-hooks/pre-commit,全文,config-inspection,n/a,high,"hook 仅校验 .claude/agents/*-dev.md，不跑 typecheck/lint/test -> A1 得以无阻力进入 origin/main；AGENTS.md「必须运行 pnpm verify」无执行面","pre-commit 接入 pnpm lint（秒级）或 pnpm verify；注意 Unix 执行位缺失会被静默跳过，需同步 chmod +x","提交含越界边的改动时被 pre-commit 拦截"
B2-b,P1,guard-blind-spot,snapshot-guard-config-only,src/eslintCrossImports.test.ts,41-44,static-code,partial,high,"守卫只断言 ALLOWED_CROSS_IMPORTS 常量等于硬编码快照，不校验代码实际边；无法捕获动态 import 与未纳入 files 的新目录","新增测试静态扫描 src/features/** 全部 import 聚合实际依赖图，断言其为白名单子集","实际依赖图 ⊆ 白名单 的测试存在，且 A1 未修复时会红"
B3-a,P1,duplicate-dead-code,shared/shareCard 与 progress/shareCard 逐字重复,src/shared/utils/shareCard.ts,1-162,Compare-Object零差异(实测),unguarded,high,"162 行 Canvas 绘制逻辑与硬编码 hex 双倍维护面；shared 版本零引用为死代码；违反文件语义归属登记（唯一消费方=progress）","删除 src/shared/utils/shareCard.ts（零风险）；progress 内那份即归属方","全仓不存在两份内容相同的文件"
B3-b,P1,shared-admission,soundManager 仅单模块使用,src/shared/utils/soundManager.ts,n/a,import-scan(实测),unguarded,high,"仅 strategy-academy/PracticeDrill.tsx 消费，违反 shared ≥2 模块准入门槛","移入 src/features/strategy-academy/utils/","shared 准入守卫测试通过"
B3-c,P1,shared-admission,elo/sanitizeReviewLabel/toLocalDateKey 仅 progress 使用,src/shared/utils/{elo,sanitizeReviewLabel,toLocalDateKey}.ts,n/a,import-scan(实测),unguarded,medium-high,"三者实际消费方仅 progress（barrel 间接引用已核验），稀释 shared 公共性","移入 src/features/progress/utils/ 并从 shared/utils/index.ts 移除导出；配只降不升的基线快照守卫","新增单模块 shared 文件时守卫测试变红"
B4,P1,missing-idempotency,achievementRegistry 重复注册,src/shared/stores/achievementRegistry.ts,registry.push(source),static-code,unguarded,high,"无去重/无 id；HMR 或模块重执行时重复 push，progress/store.ts 8 处 .some() 遍历重复源，开发期与生产行为不一致；与 bootstrap 侧 bootstrapped 标志不对称","为 AchievementDataSource 增加稳定 id，registerAchievementSource 改为按 id upsert","连续注册同一 id 两次后 getAchievementSources().length === 1，有测试覆盖"
C1,P2,god-object,progress/store.ts 规模与 fan-in,src/features/progress/store.ts,1099行/37个依赖文件,line-count+fan-in(实测),unguarded,high,"最高 fan-in + 最大单文件 -> 任何改动的爆炸半径为全应用（onboarding 9/puzzle 6/strategy 6/theory 6/range 5/gto 3/pot-odds 2）","按五大系统拆 Zustand slices，保持单一 persist 入口与 version 不变","单文件 ≤500 行且 persist 迁移行为不变，pnpm test 全绿"
C2,P2,stale-doc,architecture-review.md 结论失效,docs/architecture/architecture-review.md,18,doc-vs-code(实测),n/a,high,"「无 peer 债务边」与 A1 实测矛盾；证据基线 c966912(08-30) 落后 HEAD e6df584(09-04)","头部加失效标注并指向 module-boundary-review.md；固化「架构结论绑定 commit + 采集日期」惯例","读者不会据过期结论做决策"
C3,P2,silent-hang,initProgressStore 永挂 -> 白屏,src/main.tsx + src/features/progress/store.bootstrap.ts,void ...then(render) / waitForHydrationAndMigrateLegacyRecords,static-code,inferred-medium,medium,"hydration 回调不触发则 Promise 永挂，应用永不渲染；无 timeout 兜底、.then() 无 .catch()；与 architecture-review.md R2 的 IndexedDB 永挂同一失效模式","Promise.race 超时兜底（如 3s 后降级渲染）+ .catch() 兜底渲染 + 用户可见提示","人为制造 hydration 不触发时应用仍渲染并给出可诊断提示"
ENV,n/a,env-blocked,vitest 顶层链接缺失,node_modules/vitest,Test-Path=False；.pnpm/vitest@4.1.10_... 实体存在,实测(ERR_MODULE_NOT_FOUND),n/a,high,"pnpm test 无法运行；tsc --noEmit 的 60+ 条 TS2307 Cannot find module 'vitest' 全为此噪声，非架构缺陷；与提交 2322815「删除损坏的 node_modules 备份文件」印证","pnpm install 修复链接后重跑 pnpm verify 复验 typecheck/test 相关结论","node_modules/vitest 存在且 vitest run 可启动"
