academy.unitTitle.l1-position.u1	为什么位置如此重要？
academy.unitTitle.l1-position.u2	位置分类
academy.unitTitle.l1-position.u3	位置优势的体现
academy.unitTitle.l2-3bet-basics.u1	什么是 3-Bet？
academy.unitTitle.l2-3bet-basics.u2	3-Bet 的目的
academy.unitTitle.l3-cbet.u1	什么是 C-Bet？
academy.unitTitle.l3-cbet.u2	C-Bet 大小
academy.lessonExample.l3-cbet-ex1.tableDesc	标准100BB现金桌，对手翻前跟注你的BTN open
academy.lessonExample.l3-cbet-ex2.tableDesc	BTN是一个LAG玩家，翻前用很宽的范围跟注
academy.unitTitle.l3-draws.u1	常见听牌类型
academy.unitTitle.l3-draws.u2	听牌打法
academy.lessonExample.l3-draws-ex2.tableDesc	CO是一个NIT，面对加注弃牌率很高(70%)
academy.lessonExample.l3-3bet-pf-ex1.tableDesc	标准100BB现金桌，3-Bet底池SPR约4.3
academy.lessonExample.l3-3bet-pf-ex2.tableDesc	标准100BB现金桌，3-Bet底池SPR约4.1
academy.lessonPractice.l3-3bet-pf-p5.tableDesc	3-Bet底池，Turn牌面T-8-3-2
academy.lessonExample.l4-opp-ex2.tableDesc	该对手过去20手加注了14次，非常激进
academy.lessonExample.l4-opp-ex2.opponentHistory	该Maniac最近3次加注后翻牌全部C-Bet
academy.lessonPractice.l4-opp-p2.tableDesc	SNG 后期，只剩4人，前3有奖金
academy.lessonPractice.l4-opp-p3.tableDesc	深筹码现金桌，200BB有效
academy.lessonExample.l4-gto-ex2.tableDesc	标准100BB现金桌，BTN是TAG风格
academy.lessonExample.l5-game-ex1.tableDesc	多人limp入池，典型的休闲玩家桌
academy.lessonPractice.l5-game-p1.tableDesc	多人激进加注，可能是职业牌手桌
academy.lessonPractice.l5-game-p3.tableDesc	多人被动limp，休闲玩家桌
academy.lessonPractice.l5-game-p4.tableDesc	多人limp，休闲玩家桌
academy.lessonPractice.l5-online-vs-live-p1.tableDesc	线上速度扑克（Zoom）
academy.lessonPractice.l5-online-vs-live-p2.tableDesc	线下现金桌，对手有明显 Tell
academy.lessonPractice.l5-online-vs-live-p3.tableDesc	线上现金桌，同时打 4 桌
academy.lessonPractice.l5-online-vs-live-p4.tableDesc	线上现金桌，HUD 显示对手 VPIP 45%，面对 C-Bet 弃牌率 20%
academy.lessonPractice.l5-online-vs-live-p5.tableDesc	线下现金桌，你建立了紧凶形象
academy.lessonExample.l6-icm-ex1.tableDesc	锦标赛泡沫期，还有 2 人淘汰进入奖金圈
academy.lessonExample.l6-icm-ex1.stackDesc	你是中等筹码，CO 是大筹码（覆盖你），还有 2 个短筹码
academy.lessonExample.l6-icm-ex2.tableDesc	锦标赛泡沫期，你是大筹码
academy.lessonExample.l6-icm-ex2.stackDesc	你 25BB，SB 8BB，BB 10BB，还有 2 个中等筹码
academy.lessonPractice.l6-icm-p1.tableDesc	SNG 泡沫期，还有 1 人淘汰进入奖金圈
academy.lessonPractice.l6-icm-p1.stackDesc	你 12BB，CO 18BB，还有 2 个 5BB 短筹码
academy.lessonPractice.l6-icm-p2.tableDesc	MTT 泡沫期，你是大筹码
academy.lessonPractice.l6-icm-p2.stackDesc	你 30BB，SB 8BB，BB 10BB
academy.lessonPractice.l6-icm-p3.tableDesc	MTT 中期，距离奖金圈还有 20 人
academy.lessonPractice.l6-icm-p3.stackDesc	你 20BB，UTG 20BB，桌上有 3 个短筹码
academy.lessonPractice.l6-icm-p4.tableDesc	SNG泡沫期
academy.lessonPractice.l6-icm-p4.stackDesc	你15BB，CO 20BB，还有2个5BB短筹码
academy.lessonPractice.l6-icm-p5.tableDesc	MTT泡沫期，你非常短
academy.lessonPractice.l6-icm-p5.stackDesc	你6BB，SB 20BB，BB 25BB
academy.lessonExample.l6-pushfold-ex1.tableDesc	MTT 中期，距离奖金圈还有 15 人
academy.lessonExample.l6-pushfold-ex1.stackDesc	你 10BB，SB 15BB，BB 12BB
academy.lessonExample.l6-pushfold-ex2.tableDesc	MTT 早期，距离奖金圈还远
academy.lessonExample.l6-pushfold-ex2.stackDesc	你 12BB，SB 10BB
academy.lessonPractice.l6-pushfold-p1.tableDesc	MTT 中期，你只有 10BB
academy.lessonPractice.l6-pushfold-p1.stackDesc	你 10BB，BB 15BB
academy.lessonPractice.l6-pushfold-p2.tableDesc	MTT 泡沫期，还有 3 人进入奖金圈
academy.lessonPractice.l6-pushfold-p2.stackDesc	你 12BB，BTN 10BB，还有 2 个 5BB 短筹码
